Year,Quarter,DDR Type,Price Point,Price per GB USD (Low),Price per GB USD (High),Price per TB USD (Low),Price per TB USD (High),Market Type,Vendor/Source,Currency,Data Quality,Notes,Price_per_GB_Mid,Date
2021,Q4,DDR4,Historic peak,6.25,9.38,6250.0,9380.0,Retail,Tom's Hardware/User Reports,USD,Confirmed,32GB kits $200-300; strong post-COVID demand,7.815,2021-Q4
2022,Q2,DDR4,Declining,3.75,7.5,3750.0,7500.0,Retail,TrendForce/PCPartPicker,USD,Confirmed,Oversupply developing; inventory glut period,5.625,2022-Q2
2022,Q4,DDR5,Stabilizing,4.0,6.0,4000.0,6000.0,Retail,Market Trends,USD,Confirmed,Premium over DDR4 narrowing as production ramped,5.0,2022-Q4
2023,Q1,DDR4,Historic low,1.0,2.0,1000.0,2000.0,Retail,General Market,USD,Confirmed,31 weeks of supplier stock; post-oversupply bottom,1.5,2023-Q1
2023,Q1,DDR5,Low period,3.13,4.38,3130.0,4380.0,Retail,Multiple Sources,USD,Confirmed,Still maintained premium over DDR4,3.755,2023-Q1
2024,Q1,DDR4,Recovering,1.88,2.81,1880.0,2810.0,Contract,TrendForce,USD,Confirmed,Contract prices up 13-18% QoQ,2.3449999999999998,2024-Q1
2024,Q3,DDR4,Stable,1.88,2.81,1880.0,2810.0,Retail,PCPartPicker,USD,Confirmed,CXMT market entry suppressed prices,2.3449999999999998,2024-Q3
2024,Q3,DDR5,Best value period,2.5,3.13,2500.0,3130.0,Retail,Amazon/Newegg,USD,Confirmed,32GB Crucial Pro DDR5-6000 $80-100 on Amazon,2.815,2024-Q3
2025,Q1,DDR4,Wholesale chip,0.22,0.22,,,Retail,Industry Reports,USD,Confirmed,8Gb chip at $1.75; 6% MoM decline in Jan 2025,0.22,2025-Q1
2025,Q1,DDR4,Surge begins,1.88,5.0,1880.0,5000.0,Retail,PCServerAndParts,USD,Confirmed,Majors shifted to DDR5/HBM; undersupply kicked in,3.44,2025-Q1
2025,Q1,DDR5,Pre-surge,2.5,3.13,2500.0,3130.0,Retail,Tom's Hardware,USD,Confirmed,G.SKILL Flare X5 32GB ~$87 early 2025,2.815,2025-Q1
2025,Q2,DDR4,Parity with DDR5,4.0,7.0,4000.0,7000.0,Spot,DRAMeXchange/TrendForce,USD,Confirmed,DDR4 reached price parity with DDR5 by May 2025,5.5,2025-Q2
2025,Q2,DDR5,Climbing,3.44,4.38,3440.0,4380.0,Retail,Multiple Retailers,USD,Confirmed,32GB DDR5-6000 kits $110-140,3.91,2025-Q2
2025,Q3,DDR4,Crisis,8.0,12.0,8000.0,12000.0,Spot,TrendForce,USD,Confirmed,+158% sequential increase; doubled in one week at one point,10.0,2025-Q3
2025,Q3,DDR5,Chip spot,3.1,3.1,,,Spot,TrendForce,USD,Confirmed,16Gb chip averaged $6.84 on Sep 20 rising to $24.83 by Nov 19,3.1,2025-Q3
2025,Q4,DDR4,Enterprise server ECC,8.09,8.09,8090.0,8090.0,Retail,Bacloud EU,EUR,Confirmed,32GB PC4-25600 ECC Registered 2Rx4 @ €259/module; 1TB = 32x modules = €8288,8.09,2025-Q4
2025,Q4,DDR5,Enterprise server ECC,7.89,7.89,7890.0,7890.0,Retail,Bacloud EU,EUR,Confirmed,64GB PC5-44800B-R ECC Registered 2Rx4 @ €505/module; 1TB = 16x modules = €8080,7.89,2025-Q4
2025,Q4,DDR5,Enterprise contract 16GB,8.44,8.44,8440.0,8440.0,Contract,Samsung,USD,Confirmed,16GB module at $135; ~50% YoY increase,8.44,2025-Q4
2025,Q4,DDR5,Enterprise contract 128GB,9.33,9.33,9330.0,9330.0,Contract,Samsung,USD,Confirmed,128GB module at $1194; ~50% YoY increase; 64GB/96GB up 30%+,9.33,2025-Q4
2025,Q4,DDR4,Consumer retail,5.03,5.03,5030.0,5030.0,Retail,US Market,USD,Confirmed,32GB kit at $161 (was $70 mid-2025; +130%),5.03,2025-Q4
2025,Q4,DDR5,Consumer retail,5.75,5.75,5750.0,5750.0,Retail,US Market,USD,Confirmed,32GB kit at $184 (was $95 mid-2025; +94%),5.75,2025-Q4
